id,key,value,type
150068223,noref,yes,regular
150068223,highway,motorway_junction,regular
150070886,noref,yes,regular
150070886,highway,motorway_junction,regular
150073209,ref,27,regular
150073209,highway,motorway_junction,regular
150075114,noref,yes,regular
150075114,highway,motorway_junction,regular
150075779,highway,turning_circle,regular
150076136,noref,yes,regular
150076136,highway,motorway_junction,regular
150079602,noref,yes,regular
150079602,highway,motorway_junction,regular
150079619,noref,yes,regular
150079619,highway,motorway_junction,regular
150080207,noref,yes,regular
150080207,highway,motorway_junction,regular
150082653,ref,28B,regular
150082653,highway,motorway_junction,regular
150083188,ref,28A,regular
150083188,highway,motorway_junction,regular
150084025,barrier,toll_booth,regular
150084025,operator,North Texas Tollway Authority,regular
150084027,barrier,toll_booth,regular
150084027,operator,North Texas Tollway Authority,regular
150088882,highway,turning_circle,regular
150090124,highway,turning_circle,regular
150090316,highway,passing_place,regular
150090375,highway,turning_circle,regular
150090431,highway,turning_circle,regular
150091025,highway,turning_circle,regular
150091354,highway,turning_circle,regular
150091470,highway,turning_circle,regular
150091556,highway,turning_circle,regular
150091822,highway,turning_circle,regular
150092026,highway,turning_circle,regular
150094380,highway,turning_circle,regular
150094858,highway,turning_circle,regular
150095958,highway,passing_place,regular
150095961,highway,passing_place,regular
150096273,highway,turning_circle,regular
150097584,highway,turning_circle,regular
150098001,highway,traffic_signals,regular
150098003,highway,traffic_signals,regular
150098029,highway,traffic_signals,regular
150098185,railway,level_crossing,regular
150098228,railway,level_crossing,regular
150098261,railway,level_crossing,regular
150098283,railway,level_crossing,regular
150098295,railway,level_crossing,regular
150098322,railway,level_crossing,regular
150098337,railway,level_crossing,regular
150099555,highway,passing_place,regular
150099835,highway,turning_circle,regular
150099985,highway,turning_circle,regular
150099994,highway,turning_circle,regular
150100019,highway,turning_circle,regular
150100075,highway,turning_circle,regular
150100346,highway,turning_circle,regular
150100840,highway,turning_circle,regular
150101091,highway,turning_circle,regular
150101747,highway,turning_circle,regular
150101758,highway,passing_place,regular
150101823,highway,turning_circle,regular
150103083,highway,turning_circle,regular
150103186,highway,turning_circle,regular
150103261,highway,passing_place,regular
150103759,highway,turning_circle,regular
150103993,highway,turning_circle,regular
150104043,highway,turning_circle,regular
150105198,highway,turning_circle,regular
150105500,highway,turning_circle,regular
150105631,highway,turning_circle,regular
150105804,highway,turning_circle,regular
150106600,railway,level_crossing,regular
150106602,highway,traffic_signals,regular
150106602,traffic_signals,signal,regular
150106604,highway,traffic_signals,regular
150106604,traffic_signals,signal,regular
150107030,highway,turning_circle,regular
150107363,highway,passing_place,regular
150108551,highway,passing_place,regular
150109133,highway,turning_circle,regular
150109549,highway,turning_circle,regular
150109913,highway,turning_circle,regular
150109969,highway,passing_place,regular
150110036,highway,turning_circle,regular
150110247,highway,turning_circle,regular
150110270,highway,turning_circle,regular
150110324,highway,turning_circle,regular
150111268,highway,turning_circle,regular
150111341,highway,turning_circle,regular
150111585,highway,turning_circle,regular
150111751,highway,turning_circle,regular
150112647,highway,turning_circle,regular
150115185,highway,turning_circle,regular
150115427,highway,turning_circle,regular
150116161,highway,passing_place,regular
150116349,highway,turning_circle,regular
150116483,highway,turning_circle,regular
150116793,highway,turning_circle,regular
150116962,highway,turning_circle,regular
150117004,highway,passing_place,regular
150117820,highway,turning_circle,regular
150118294,highway,turning_circle,regular
150119214,highway,turning_circle,regular
150119228,highway,turning_circle,regular
150119425,highway,turning_circle,regular
150119602,highway,turning_circle,regular
150119773,highway,traffic_signals,regular
150119773,traffic_signals,signal,regular
150119776,highway,traffic_signals,regular
150119776,traffic_signals,signal,regular
150121050,highway,turning_circle,regular
150121206,highway,turning_circle,regular
150121550,highway,turning_circle,regular
150122305,highway,turning_circle,regular
150122311,highway,turning_circle,regular
150122330,highway,turning_circle,regular
150122767,highway,passing_place,regular
150122857,highway,passing_place,regular
150122871,highway,turning_circle,regular
150122935,highway,turning_circle,regular
150123469,highway,turning_circle,regular
150124319,highway,turning_circle,regular
150124481,highway,turning_circle,regular
150124500,highway,turning_circle,regular
150125357,highway,turning_circle,regular
150125795,highway,turning_circle,regular
150126498,highway,turning_circle,regular
150127046,highway,turning_circle,regular
150127903,highway,turning_circle,regular
150128184,highway,turning_circle,regular
150128352,highway,turning_circle,regular
150129312,highway,turning_circle,regular
150129753,highway,turning_circle,regular
150132427,highway,traffic_signals,regular
150132427,traffic_signals,signal,regular
150132436,highway,traffic_signals,regular
150132436,traffic_signals,signal,regular
150132449,railway,level_crossing,regular
150132848,highway,turning_circle,regular
150132887,highway,turning_circle,regular
150133538,highway,turning_circle,regular
150134026,highway,turning_circle,regular
150135468,highway,turning_circle,regular
150135862,highway,turning_circle,regular
150138362,highway,turning_circle,regular
150138531,highway,turning_circle,regular
150139482,highway,turning_circle,regular
150140281,highway,turning_circle,regular
150140862,highway,turning_circle,regular
150141083,highway,turning_circle,regular
150141141,highway,turning_circle,regular
150141494,highway,turning_circle,regular
150141774,highway,turning_circle,regular
150142310,highway,turning_circle,regular
150142319,highway,turning_circle,regular
150143007,highway,turning_circle,regular
150143374,highway,turning_circle,regular
150143832,highway,turning_circle,regular
150144209,highway,turning_circle,regular
150145008,highway,passing_place,regular
150145050,highway,turning_circle,regular
150145403,highway,turning_circle,regular
150145805,highway,turning_circle,regular
150146634,highway,turning_circle,regular
150147051,highway,turning_circle,regular
150148222,highway,turning_circle,regular
150148641,highway,turning_circle,regular
150149028,highway,turning_circle,regular
150149395,highway,turning_circle,regular
150149459,highway,turning_circle,regular
