id,key,value,type
9938824,service,parking_aisle,regular
9938927,oneway,yes,regular
9938927,highway,secondary_link,regular
9938928,highway,secondary_link,regular
9938933,highway,unclassified,regular
9938933,created_by,Potlatch 0.10b,regular
9938933,cfcc,A63,tiger
9938933,tlid,103274787,tiger
9938933,county,"Dallas, TX",tiger
9938933,source,tiger_import_dch_v0.6_20070829,tiger
9938933,reviewed,no,tiger
9938933,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9939145,highway,service,regular
9939145,service,parking_aisle,regular
9939145,cfcc,A63,tiger
9939145,county,"Dallas, TX",tiger
9939145,reviewed,no,tiger
9939159,oneway,yes,regular
9939159,highway,secondary_link,regular
9939159,cfcc,A63,tiger
9939159,county,"Dallas, TX",tiger
9939159,reviewed,no,tiger
9939367,highway,unclassified,regular
9939393,noname,yes,regular
9939393,highway,residential,regular
9939393,cfcc,A63,tiger
9939393,county,"Dallas, TX",tiger
9939393,reviewed,no,tiger
9939395,highway,secondary_link,regular
9939395,cfcc,A63,tiger
9939395,county,"Dallas, TX",tiger
9939395,reviewed,no,tiger
9939400,access,private,regular
9939400,highway,service,regular
9939400,cfcc,A74,tiger
9939400,tlid,103274896,tiger
9939400,county,"Dallas, TX",tiger
9939400,source,tiger_import_dch_v0.6_20070829,tiger
9939400,reviewed,no,tiger
9939400,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9939463,oneway,yes,regular
9939463,highway,unclassified,regular
9939463,cfcc,A63,tiger
9939463,county,"Dallas, TX",tiger
9939463,reviewed,no,tiger
9939554,highway,tertiary_link,regular
9939554,cfcc,A63,tiger
9939554,county,"Dallas, TX",tiger
9939554,reviewed,no,tiger
9939562,highway,secondary,regular
9939562,cfcc,A63,tiger
9939562,tlid,103257389,tiger
9939562,county,"Dallas, TX",tiger
9939562,source,tiger_import_dch_v0.6_20070829,tiger
9939562,reviewed,no,tiger
9939562,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9939563,highway,service,regular
9939563,service,parking_aisle,regular
9939898,highway,unclassified,regular
9939898,cfcc,A63,tiger
9939898,tlid,103257282,tiger
9939898,county,"Dallas, TX",tiger
9939898,source,tiger_import_dch_v0.6_20070829,tiger
9939898,reviewed,no,tiger
9939898,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9939901,oneway,yes,regular
9939901,highway,secondary_link,regular
9939901,cfcc,A63,tiger
9939901,tlid,103256254:103256259:103273971:103254278,tiger
9939901,county,"Dallas, TX",tiger
9939901,source,tiger_import_dch_v0.6_20070829,tiger
9939901,reviewed,no,tiger
9939901,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9939951,highway,unclassified,regular
9939951,cfcc,A63,tiger
9939951,tlid,103273973,tiger
9939951,county,"Dallas, TX",tiger
9939951,source,tiger_import_dch_v0.6_20070829,tiger
9939951,reviewed,no,tiger
9939951,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9939954,oneway,yes,regular
9939954,highway,secondary_link,regular
9939954,cfcc,A63,tiger
9939954,county,"Dallas, TX",tiger
9939954,reviewed,no,tiger
9939956,oneway,yes,regular
9939956,highway,secondary_link,regular
9939956,cfcc,A63,tiger
9939956,tlid,103273977:103254272,tiger
9939956,county,"Dallas, TX",tiger
9939956,source,tiger_import_dch_v0.6_20070829,tiger
9939956,reviewed,no,tiger
9939956,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9939959,highway,service,regular
9939959,service,driveway,regular
9939959,cfcc,A41,tiger
9939959,county,"Dallas, TX",tiger
9939959,reviewed,no,tiger
9940105,highway,service,regular
9940105,service,driveway,regular
9940105,cfcc,A73,tiger
9940105,county,"Dallas, TX",tiger
9940411,noname,yes,regular
9940411,highway,residential,regular
9940411,cfcc,A63,tiger
9940411,county,"Dallas, TX",tiger
9940411,reviewed,no,tiger
9940413,highway,secondary,regular
9940413,cfcc,A63,tiger
9940413,tlid,103257393,tiger
9940413,county,"Dallas, TX",tiger
9940413,source,tiger_import_dch_v0.6_20070829,tiger
9940413,reviewed,no,tiger
9940413,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9940710,highway,service,regular
9940710,service,parking_aisle,regular
9940740,highway,secondary_link,regular
9940741,highway,service,regular
9940741,cfcc,A73,tiger
9940741,tlid,103273985,tiger
9940741,county,"Dallas, TX",tiger
9940741,source,tiger_import_dch_v0.6_20070829,tiger
9940741,reviewed,no,tiger
9940741,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9940980,highway,service,regular
9940980,cfcc,A73,tiger
9940980,tlid,103257196,tiger
9940980,county,"Dallas, TX",tiger
9940980,source,tiger_import_dch_v0.6_20070829,tiger
9940980,reviewed,no,tiger
9940980,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9941481,highway,service,regular
9941481,service,driveway,regular
9941481,cfcc,A73,tiger
9941481,county,"Dallas, TX",tiger
9941784,highway,unclassified,regular
9941784,created_by,Potlatch 0.10b,regular
9941784,cfcc,A63,tiger
9941784,tlid,103254634:103254636:103257717,tiger
9941784,county,"Dallas, TX",tiger
9941784,source,tiger_import_dch_v0.6_20070829,tiger
9941784,reviewed,no,tiger
9941784,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9941786,highway,unclassified,regular
9941786,created_by,Potlatch 0.10b,regular
9941786,cfcc,A63,tiger
9941786,tlid,103254635:103257713:103257724,tiger
9941786,county,"Dallas, TX",tiger
9941786,source,tiger_import_dch_v0.6_20070829,tiger
9941786,reviewed,no,tiger
9941786,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9941839,highway,service,regular
9941839,service,parking_aisle,regular
9942041,highway,residential,regular
9942041,cfcc,A41,tiger
9942041,county,"Dallas, TX",tiger
9942041,reviewed,no,tiger
9942302,highway,secondary_link,regular
9942302,oneway,yes,regular
9942302,cfcc,A63,tiger
9942302,county,"Dallas, TX",tiger
9942395,highway,unclassified,regular
9942395,created_by,Potlatch 0.10b,regular
9942395,cfcc,A63,tiger
9942395,tlid,103254334,tiger
9942395,county,"Dallas, TX",tiger
9942395,source,tiger_import_dch_v0.6_20070829,tiger
9942395,reviewed,no,tiger
9942395,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9942397,highway,unclassified,regular
9942397,created_by,Potlatch 0.10b,regular
9942397,cfcc,A63,tiger
9942397,tlid,103254337,tiger
9942397,county,"Dallas, TX",tiger
9942397,source,tiger_import_dch_v0.6_20070829,tiger
9942397,reviewed,no,tiger
9942397,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9942584,highway,unclassified,regular
9942584,cfcc,A63,tiger
9942584,county,"Dallas, TX",tiger
9942584,reviewed,no,tiger
9942586,highway,unclassified,regular
9942586,created_by,Potlatch 0.10b,regular
9942586,cfcc,A63,tiger
9942586,tlid,103254548,tiger
9942586,county,"Dallas, TX",tiger
9942586,source,tiger_import_dch_v0.6_20070829,tiger
9942586,reviewed,no,tiger
9942586,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9943212,highway,service,regular
9943212,service,parking_aisle,regular
9943502,highway,unclassified,regular
9943502,cfcc,A63,tiger
9943502,tlid,103254246,tiger
9943502,county,"Dallas, TX",tiger
9943502,source,tiger_import_dch_v0.6_20070829,tiger
9943502,reviewed,no,tiger
9943502,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9943760,highway,residential,regular
9943760,cfcc,A41,tiger
9943760,county,"Dallas, TX",tiger
9943760,reviewed,no,tiger
9944189,highway,service,regular
9944189,service,driveway,regular
9944189,cfcc,A41,tiger
9944189,county,"Dallas, TX",tiger
9944189,reviewed,no,tiger
9944453,highway,unclassified,regular
9944453,created_by,Potlatch 0.10b,regular
9944453,cfcc,A63,tiger
9944453,tlid,103274803,tiger
9944453,county,"Dallas, TX",tiger
9944453,source,tiger_import_dch_v0.6_20070829,tiger
9944453,reviewed,no,tiger
9944453,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9944559,oneway,yes,regular
9944559,highway,motorway_link,regular
9944559,cfcc,A63,tiger
9944559,county,"Dallas, TX",tiger
9944559,reviewed,no,tiger
9944783,highway,service,regular
9944783,cfcc,A41,tiger
9944783,county,"Dallas, TX",tiger
9944783,reviewed,no,tiger
9945088,access,private,regular
9945088,oneway,yes,regular
9945088,highway,service,regular
9945088,cfcc,A74,tiger
9945088,county,"Dallas, TX",tiger
9945088,reviewed,no,tiger
9945089,access,private,regular
9945089,oneway,yes,regular
9945089,highway,service,regular
9945089,cfcc,A74,tiger
9945089,county,"Dallas, TX",tiger
9945089,reviewed,no,tiger
9945172,oneway,yes,regular
9945172,highway,secondary_link,regular
9945172,cfcc,A63,tiger
9945172,tlid,103254575:103254576:103254578,tiger
9945172,county,"Dallas, TX",tiger
9945172,source,tiger_import_dch_v0.6_20070829,tiger
9945172,reviewed,no,tiger
9945172,upload_uuid,bulk_upload.pl-006e0479-d70c-4fe9-9a40-7848af05bcbc,tiger
9945307,oneway,yes,regular
9945307,highway,motorway_link,regular
9945307,cfcc,A63,tiger
9945307,destination,Campbell Road;Shiloh Road;Telecom Parkway,regular
9945307,county,"Dallas, TX",tiger
9945307,reviewed,no,tiger
9945309,oneway,yes,regular
9945309,highway,unclassified,regular
9945309,cfcc,A63,tiger
9945309,county,"Dallas, TX",tiger
9945309,reviewed,no,tiger
9945473,name,Winterwood Court,regular
9945473,highway,residential,regular
9945473,cfcc,A41,tiger
9945473,county,"Dallas, TX",tiger
9945473,reviewed,no,tiger
9945569,access,private,regular
9945569,highway,service,regular
9945569,cfcc,A74,tiger
9945569,county,"Dallas, TX",tiger
9945569,reviewed,no,tiger
9945571,oneway,yes,regular
9945571,highway,unclassified,regular
9945571,cfcc,A63,tiger
9945571,county,"Dallas, TX",tiger
9945571,reviewed,no,tiger
9945575,highway,unclassified,regular
9945575,cfcc,A63,tiger
9945575,county,"Dallas, TX",tiger
9945575,reviewed,no,tiger
9945841,lanes,1,regular
